ISIN,Company Name,Year,RGS Product Category,Company Product Category Revenue
ARGRSU300079,Grupo Supervielle SA Class B,2018,Corporate and Commercial Banking Services,555744935
ARGRSU300079,Grupo Supervielle SA Class B,2018,Financial Data Processing and Analytics Software Solutions,30054717
ARGRSU300079,Grupo Supervielle SA Class B,2018,Investment and Investment Advisory Services,17793393
ARGRSU300079,Grupo Supervielle SA Class B,2018,Other Insurance,24707155
ARGRSU300079,Grupo Supervielle SA Class B,2018,Specialized Finance Institutions and Services,53017461
ARGRSU300079,Grupo Supervielle SA Class B,2019,Corporate and Commercial Banking Services,484026007
ARGRSU300079,Grupo Supervielle SA Class B,2019,Financial Data Processing and Analytics Software Solutions,5890611
ARGRSU300079,Grupo Supervielle SA Class B,2019,Investment and Investment Advisory Services,16182670
ARGRSU300079,Grupo Supervielle SA Class B,2019,Other Insurance,22966558
ARGRSU300079,Grupo Supervielle SA Class B,2019,Specialized Finance Institutions and Services,35595651
ARGRSU300079,Grupo Supervielle SA Class B,2020,Corporate and Commercial Banking Services,498410974.21126
ARGRSU300079,Grupo Supervielle SA Class B,2020,Investment and Investment Advisory Services,25131096.7493222
ARGRSU300079,Grupo Supervielle SA Class B,2020,Other Insurance,20321336.2004219
ARGRSU300079,Grupo Supervielle SA Class B,2020,Specialized Finance Institutions and Services,45367530.838996
ARGRSU300079,Grupo Supervielle SA Class B,2021,Corporate and Commercial Banking Services,513662676.836811
ARGRSU300079,Grupo Supervielle SA Class B,2021,Investment and Investment Advisory Services,27979614.5724379
ARGRSU300079,Grupo Supervielle SA Class B,2021,Other Insurance,19269586.4398307
ARGRSU300079,Grupo Supervielle SA Class B,2021,Specialized Finance Institutions and Services,22660421.1509208
ARGRSU300079,Grupo Supervielle SA Class B,2022,Corporate and Commercial Banking Services,510382384.48286
ARGRSU300079,Grupo Supervielle SA Class B,2022,Investment and Investment Advisory Services,34312904.063846
ARGRSU300079,Grupo Supervielle SA Class B,2022,Other Insurance,26959633.4363504
ARGRSU300079,Grupo Supervielle SA Class B,2022,Specialized Finance Institutions and Services,273857928.016943
ARGRSU300079,Grupo Supervielle SA Class B,2023,Corporate and Commercial Banking Services,1398848641.39612
ARGRSU300079,Grupo Supervielle SA Class B,2023,Investment and Investment Advisory Services,111567314.215934
ARGRSU300079,Grupo Supervielle SA Class B,2023,Other Insurance,43261205.3879434
ARP125991090,Banco BBVA Argentina SA,2015,Corporate and Commercial Banking Services,1744171790
ARP125991090,Banco BBVA Argentina SA,2016,Corporate and Commercial Banking Services,1478624071
ARP125991090,Banco BBVA Argentina SA,2017,Corporate and Commercial Banking Services,1746025961
ARP125991090,Banco BBVA Argentina SA,2018,Corporate and Commercial Banking Services,1338125267
ARP125991090,Banco BBVA Argentina SA,2019,Corporate and Commercial Banking Services,1655026269
ARP125991090,Banco BBVA Argentina SA,2020,Corporate and Commercial Banking Services,1410626447
ARP125991090,Banco BBVA Argentina SA,2021,Corporate and Commercial Banking Services,1650157938
ARP125991090,Banco BBVA Argentina SA,2022,Corporate and Commercial Banking Services,3169132726
ARP125991090,Banco BBVA Argentina SA,2023,Corporate and Commercial Banking Services,6116372182
ARP2354W1188,Central Puerto SA,2015,"Power Distribution, Storage and Grid Maintenance",348443423
ARP2354W1188,Central Puerto SA,2016,Diversified Utilities,14655356.1124777
ARP2354W1188,Central Puerto SA,2016,"Gas Network Supply, Management, and Maintenance",144468723.610499
ARP2354W1188,Central Puerto SA,2016,"Power Distribution, Storage and Grid Maintenance",200952923.277024
ARP2354W1188,Central Puerto SA,2017,Diversified Utilities,13806657.9429537
ARP2354W1188,Central Puerto SA,2017,"Gas Network Supply, Management, and Maintenance",182113044.069638
ARP2354W1188,Central Puerto SA,2017,"Power Distribution, Storage and Grid Maintenance",163814639.987408
ARP2354W1188,Central Puerto SA,2018,Diversified Utilities,17486572.9508155
ARP2354W1188,Central Puerto SA,2018,"Gas Network Supply, Management, and Maintenance",271049819.546493
ARP2354W1188,Central Puerto SA,2018,"Power Distribution, Storage and Grid Maintenance",218900033.502691
ARP2354W1188,Central Puerto SA,2019,Diversified Utilities,23488175.1510239
ARP2354W1188,Central Puerto SA,2019,"Gas Network Supply, Management, and Maintenance",228019256.756419
ARP2354W1188,Central Puerto SA,2019,"Power Distribution, Storage and Grid Maintenance",493390083.092557
ARP2354W1188,Central Puerto SA,2020,Diversified Utilities,14089768.7491992
ARP2354W1188,Central Puerto SA,2020,"Gas Network Supply, Management, and Maintenance",230027343.105585
ARP2354W1188,Central Puerto SA,2020,"Power Distribution, Storage and Grid Maintenance",295010443.145216
ARP2354W1188,Central Puerto SA,2021,Diversified Utilities,11904446.7992441
ARP2354W1188,Central Puerto SA,2021,"Gas Network Supply, Management, and Maintenance",209269737.558789
ARP2354W1188,Central Puerto SA,2021,"Power Distribution, Storage and Grid Maintenance",378317145.641967
ARP2354W1188,Central Puerto SA,2022,Diversified Utilities,8840021.00838915
ARP2354W1188,Central Puerto SA,2022,"Gas Network Supply, Management, and Maintenance",267478807.039709
ARP2354W1188,Central Puerto SA,2022,"Power Distribution, Storage and Grid Maintenance",499068310.951902
ARP2354W1188,Central Puerto SA,2023,Diversified Utilities,10580304.8561336
ARP2354W1188,Central Puerto SA,2023,Forest Products and Services,13467487.64929
ARP2354W1188,Central Puerto SA,2023,"Gas Network Supply, Management, and Maintenance",343112470.222347
ARP2354W1188,Central Puerto SA,2023,"Power Distribution, Storage and Grid Maintenance",697843471.27223
ARP331091024,Cresud SA,2016,Agricultural Support Services,470592601
ARP331091024,Cresud SA,2016,Food Retail,1552513435
ARP331091024,Cresud SA,2016,"Hotel and Resort Acquisition, Development, Leasing and Management",44548209
ARP331091024,Cresud SA,2016,"Residential Property Acquisition, Development, Leasing and Management",128305517
ARP331091024,Cresud SA,2016,"Retail Property Acquisition, Development, Leasing and Management",200717213
ARP331091024,Cresud SA,2016,Wireless and Broadband Telecommunication Services,555184144
ARP331091024,Cresud SA,2017,Agricultural Support Services,359113429
ARP331091024,Cresud SA,2017,Food Retail,3060166831
ARP331091024,Cresud SA,2017,"Hotel and Resort Acquisition, Development, Leasing and Management",46928125
ARP331091024,Cresud SA,2017,"Office Acquisition, Development, Leasing and Management",28674702
ARP331091024,Cresud SA,2017,"Residential Property Acquisition, Development, Leasing and Management",318334507
ARP331091024,Cresud SA,2017,"Retail Property Acquisition, Development, Leasing and Management",196968667
ARP331091024,Cresud SA,2017,Wireless and Broadband Telecommunication Services,1033324942
ARP331091024,Cresud SA,2018,Agricultural Support Services,169369594.133507
ARP331091024,Cresud SA,2018,Food Retail,1220712677.61222
ARP331091024,Cresud SA,2018,"Hotel and Resort Acquisition, Development, Leasing and Management",19642027.8949184
ARP331091024,Cresud SA,2018,"Residential Property Acquisition, Development, Leasing and Management",124756149.191599
ARP331091024,Cresud SA,2018,"Retail Property Acquisition, Development, Leasing and Management",73985645.3688868
ARP331091024,Cresud SA,2018,Wireless and Broadband Telecommunication Services,390559420.79887
ARP331091024,Cresud SA,2019,Agricultural Support Services,460430334
ARP331091024,Cresud SA,2019,"Hotel and Resort Acquisition, Development, Leasing and Management",54416170
ARP331091024,Cresud SA,2019,"Office Acquisition, Development, Leasing and Management",41246720
ARP331091024,Cresud SA,2019,"Residential Property Acquisition, Development, Leasing and Management",404038747
ARP331091024,Cresud SA,2019,"Retail Property Acquisition, Development, Leasing and Management",157401275
ARP331091024,Cresud SA,2019,Wireless and Broadband Telecommunication Services,1059772035
ARP331091024,Cresud SA,2020,Agricultural Support Services,556232048.19725
ARP331091024,Cresud SA,2020,"Hotel and Resort Acquisition, Development, Leasing and Management",33855709.7333833
ARP331091024,Cresud SA,2020,"Office Acquisition, Development, Leasing and Management",39501119.61241
ARP331091024,Cresud SA,2020,"Residential Property Acquisition, Development, Leasing and Management",217004878.272849
ARP331091024,Cresud SA,2020,"Retail Property Acquisition, Development, Leasing and Management",99422877.1191451
ARP331091024,Cresud SA,2020,Wireless and Broadband Telecommunication Services,1086163522.06496
ARP331091024,Cresud SA,2021,Agricultural Support Services,386123736.523732
ARP331091024,Cresud SA,2021,"Residential Property Acquisition, Development, Leasing and Management",52138686.0556562
ARP331091024,Cresud SA,2021,"Retail Property Acquisition, Development, Leasing and Management",67247926.4206115
ARP331091024,Cresud SA,2022,Agricultural Support Services,667927112.514337
ARP331091024,Cresud SA,2022,"Residential Property Acquisition, Development, Leasing and Management",77550645.8653562
ARP331091024,Cresud SA,2022,"Retail Property Acquisition, Development, Leasing and Management",162763394.620307
ARP331091024,Cresud SA,2023,Agricultural Support Services,656263490.580566
ARP331091024,Cresud SA,2023,"Residential Property Acquisition, Development, Leasing and Management",136882124.169867
ARP331091024,Cresud SA,2023,"Retail Property Acquisition, Development, Leasing and Management",261146759.249568
ARP331091024,Cresud SA,2024,Agricultural Support Services,716571798.027729
ARP331091024,Cresud SA,2024,"Residential Property Acquisition, Development, Leasing and Management",146725361.696078
ARP331091024,Cresud SA,2024,"Retail Property Acquisition, Development, Leasing and Management",289980320.276193
ARP432631215,Pampa Energia SA,2015,Diversified Utilities,2454382
ARP432631215,Pampa Energia SA,2015,Oil and Gas Services,91525615
ARP432631215,Pampa Energia SA,2015,"Power Distribution, Storage and Grid Maintenance",782299366
ARP432631215,Pampa Energia SA,2016,Diversified Utilities,3519276
ARP432631215,Pampa Energia SA,2016,Electrical Utilities With Greenhouse Gas Emissions,166082777
ARP432631215,Pampa Energia SA,2016,Oil and Gas Services,455949336
ARP432631215,Pampa Energia SA,2016,"Power Distribution, Storage and Grid Maintenance",1492443931
ARP432631215,Pampa Energia SA,2017,Diversified Utilities,26149997
ARP432631215,Pampa Energia SA,2017,Electrical Utilities With Greenhouse Gas Emissions,436517738
ARP432631215,Pampa Energia SA,2017,Oil and Gas Services,375158853
ARP432631215,Pampa Energia SA,2017,"Power Distribution, Storage and Grid Maintenance",317483917
ARP432631215,Pampa Energia SA,2018,Diversified Utilities,48163414
ARP432631215,Pampa Energia SA,2018,Electrical Utilities With Greenhouse Gas Emissions,453461743
ARP432631215,Pampa Energia SA,2018,Oil and Gas Services,613994599
ARP432631215,Pampa Energia SA,2018,"Power Distribution, Storage and Grid Maintenance",2800058680
ARP432631215,Pampa Energia SA,2019,Diversified Utilities,20000000
ARP432631215,Pampa Energia SA,2019,Electrical Utilities With Greenhouse Gas Emissions,321000000
ARP432631215,Pampa Energia SA,2019,Oil and Gas Services,174000000
ARP432631215,Pampa Energia SA,2019,"Power Distribution, Storage and Grid Maintenance",2321000000
ARP432631215,Pampa Energia SA,2020,Diversified Utilities,20000000
ARP432631215,Pampa Energia SA,2020,Electrical Utilities With Greenhouse Gas Emissions,265000000
ARP432631215,Pampa Energia SA,2020,Oil and Gas Services,227000000
ARP432631215,Pampa Energia SA,2020,"Power Distribution, Storage and Grid Maintenance",559000000
ARP432631215,Pampa Energia SA,2021,Diversified Utilities,22000000
ARP432631215,Pampa Energia SA,2021,Electrical Utilities With Greenhouse Gas Emissions,490000000
ARP432631215,Pampa Energia SA,2021,Oil and Gas Services,340000000
ARP432631215,Pampa Energia SA,2021,"Power Distribution, Storage and Grid Maintenance",656000000
ARP432631215,Pampa Energia SA,2022,Diversified Utilities,20000000
ARP432631215,Pampa Energia SA,2022,Electrical Utilities With Greenhouse Gas Emissions,617000000
ARP432631215,Pampa Energia SA,2022,Oil and Gas Services,529000000
ARP432631215,Pampa Energia SA,2022,"Power Distribution, Storage and Grid Maintenance",663000000
ARP432631215,Pampa Energia SA,2023,Diversified Utilities,14000000
ARP432631215,Pampa Energia SA,2023,Electrical Utilities With Greenhouse Gas Emissions,507000000
ARP432631215,Pampa Energia SA,2023,Oil and Gas Services,563000000
ARP432631215,Pampa Energia SA,2023,"Power Distribution, Storage and Grid Maintenance",648000000
ARP495251018,Grupo Financiero Galicia SA Class B,2015,Corporate and Commercial Banking Services,1981098516.34822
ARP495251018,Grupo Financiero Galicia SA Class B,2015,Loans and Lending Excluding Credit Cards,155565088.586713
ARP495251018,Grupo Financiero Galicia SA Class B,2015,Other Insurance,23675294.9923214
ARP495251018,Grupo Financiero Galicia SA Class B,2015,Specialized Finance Institutions and Services,29676501.0727426
ARP495251018,Grupo Financiero Galicia SA Class B,2016,Corporate and Commercial Banking Services,1671156883.22629
ARP495251018,Grupo Financiero Galicia SA Class B,2016,Loans and Lending Excluding Credit Cards,114558150.103637
ARP495251018,Grupo Financiero Galicia SA Class B,2016,Other Insurance,22732072.6108795
ARP495251018,Grupo Financiero Galicia SA Class B,2016,Specialized Finance Institutions and Services,26664036.0591971
ARP495251018,Grupo Financiero Galicia SA Class B,2017,Corporate and Commercial Banking Services,2113633523.93235
ARP495251018,Grupo Financiero Galicia SA Class B,2017,Loans and Lending Excluding Credit Cards,146776929.58893
ARP495251018,Grupo Financiero Galicia SA Class B,2017,Other Insurance,20167561.0881697
ARP495251018,Grupo Financiero Galicia SA Class B,2017,Specialized Finance Institutions and Services,95881563.390548
ARP495251018,Grupo Financiero Galicia SA Class B,2018,Corporate and Commercial Banking Services,2149775616
ARP495251018,Grupo Financiero Galicia SA Class B,2018,Financial Data Processing and Analytics Software Solutions,1932584
ARP495251018,Grupo Financiero Galicia SA Class B,2018,Other Insurance,65667862
ARP495251018,Grupo Financiero Galicia SA Class B,2018,Specialized Finance Institutions and Services,40093694
ARP495251018,Grupo Financiero Galicia SA Class B,2019,Corporate and Commercial Banking Services,2302369836
ARP495251018,Grupo Financiero Galicia SA Class B,2019,Financial Data Processing and Analytics Software Solutions,616847
ARP495251018,Grupo Financiero Galicia SA Class B,2019,Other Insurance,55403693
ARP495251018,Grupo Financiero Galicia SA Class B,2019,Specialized Finance Institutions and Services,24411371
ARP495251018,Grupo Financiero Galicia SA Class B,2020,Corporate and Commercial Banking Services,2482725937.43005
ARP495251018,Grupo Financiero Galicia SA Class B,2020,Other Insurance,67392547.2485174
ARP495251018,Grupo Financiero Galicia SA Class B,2020,Specialized Finance Institutions and Services,61163584.3214288
ARP495251018,Grupo Financiero Galicia SA Class B,2021,Corporate and Commercial Banking Services,2887327992.7692
ARP495251018,Grupo Financiero Galicia SA Class B,2021,Other Insurance,57598013.931902
ARP495251018,Grupo Financiero Galicia SA Class B,2021,Specialized Finance Institutions and Services,70544000.2988961
ARP495251018,Grupo Financiero Galicia SA Class B,2022,Corporate and Commercial Banking Services,4969364437.45994
ARP495251018,Grupo Financiero Galicia SA Class B,2022,Other Insurance,95725896.7060675
ARP495251018,Grupo Financiero Galicia SA Class B,2022,Specialized Finance Institutions and Services,179885861.833994
ARP495251018,Grupo Financiero Galicia SA Class B,2023,Corporate and Commercial Banking Services,10613246360
ARP495251018,Grupo Financiero Galicia SA Class B,2023,Financial Data Processing and Analytics Software Solutions,18487
ARP495251018,Grupo Financiero Galicia SA Class B,2023,Other Insurance,174544921
ARP495251018,Grupo Financiero Galicia SA Class B,2023,Specialized Finance Institutions and Services,510505833
ARP588091073,IRSA Inversiones y Representaciones SA,2016,Food Retail,1550804820.69676
ARP588091073,IRSA Inversiones y Representaciones SA,2016,"Hotel and Resort Acquisition, Development, Leasing and Management",44499181.5936246
ARP588091073,IRSA Inversiones y Representaciones SA,2016,"Industrial Property Acquisition, Development, Leasing and Management",118831148.625568
ARP588091073,IRSA Inversiones y Representaciones SA,2016,Investment and Investment Advisory Services,99498170.9218961
ARP588091073,IRSA Inversiones y Representaciones SA,2016,"Office Acquisition, Development, Leasing and Management",28332812.0485978
ARP588091073,IRSA Inversiones y Representaciones SA,2016,"Residential Property Acquisition, Development, Leasing and Management",128164310.723398
ARP588091073,IRSA Inversiones y Representaciones SA,2016,"Retail Property Acquisition, Development, Leasing and Management",201162968.741523
ARP588091073,IRSA Inversiones y Representaciones SA,2016,Wireless and Broadband Telecommunication Services,554573137.648632
ARP588091073,IRSA Inversiones y Representaciones SA,2017,Food Retail,3058105335.44735
ARP588091073,IRSA Inversiones y Representaciones SA,2017,"Hotel and Resort Acquisition, Development, Leasing and Management",46896511.6513415
ARP588091073,IRSA Inversiones y Representaciones SA,2017,"Industrial Property Acquisition, Development, Leasing and Management",17012113.9851756
ARP588091073,IRSA Inversiones y Representaciones SA,2017,Marketing and Sales,96380416.1185567
ARP588091073,IRSA Inversiones y Representaciones SA,2017,"Office Acquisition, Development, Leasing and Management",28655385.1542491
ARP588091073,IRSA Inversiones y Representaciones SA,2017,"Residential Property Acquisition, Development, Leasing and Management",324523858.628631
ARP588091073,IRSA Inversiones y Representaciones SA,2017,"Retail Property Acquisition, Development, Leasing and Management",196835978.145615
ARP588091073,IRSA Inversiones y Representaciones SA,2017,Wireless and Broadband Telecommunication Services,1032628837.86908
ARP588091073,IRSA Inversiones y Representaciones SA,2018,Food Retail,1096131998.87247
ARP588091073,IRSA Inversiones y Representaciones SA,2018,"Hotel and Resort Acquisition, Development, Leasing and Management",17637447.11858
ARP588091073,IRSA Inversiones y Representaciones SA,2018,Marketing and Sales,31286982.4439086
ARP588091073,IRSA Inversiones y Representaciones SA,2018,"Office Acquisition, Development, Leasing and Management",9643496.47228165
ARP588091073,IRSA Inversiones y Representaciones SA,2018,"Residential Property Acquisition, Development, Leasing and Management",114199298.78533
ARP588091073,IRSA Inversiones y Representaciones SA,2018,"Retail Property Acquisition, Development, Leasing and Management",77002956.0069276
ARP588091073,IRSA Inversiones y Representaciones SA,2018,Wireless and Broadband Telecommunication Services,350700608.300502
ARP588091073,IRSA Inversiones y Representaciones SA,2019,"Hotel and Resort Acquisition, Development, Leasing and Management",54360070.0494145
ARP588091073,IRSA Inversiones y Representaciones SA,2019,"Industrial Property Acquisition, Development, Leasing and Management",3499462.53160196
ARP588091073,IRSA Inversiones y Representaciones SA,2019,Investment and Investment Advisory Services,68226360.9458149
ARP588091073,IRSA Inversiones y Representaciones SA,2019,"Office Acquisition, Development, Leasing and Management",41204196.9971166
ARP588091073,IRSA Inversiones y Representaciones SA,2019,"Residential Property Acquisition, Development, Leasing and Management",403622206.22285
ARP588091073,IRSA Inversiones y Representaciones SA,2019,"Retail Property Acquisition, Development, Leasing and Management",207994364.444974
ARP588091073,IRSA Inversiones y Representaciones SA,2019,Wireless and Broadband Telecommunication Services,1058679470.80823
ARP588091073,IRSA Inversiones y Representaciones SA,2020,"Hotel and Resort Acquisition, Development, Leasing and Management",33845701.1874905
ARP588091073,IRSA Inversiones y Representaciones SA,2020,"Industrial Property Acquisition, Development, Leasing and Management",1306266.81900923
ARP588091073,IRSA Inversiones y Representaciones SA,2020,Marketing and Sales,51915721.020451
ARP588091073,IRSA Inversiones y Representaciones SA,2020,"Office Acquisition, Development, Leasing and Management",39489442.1502752
ARP588091073,IRSA Inversiones y Representaciones SA,2020,"Residential Property Acquisition, Development, Leasing and Management",229249776.273522
ARP588091073,IRSA Inversiones y Representaciones SA,2020,"Retail Property Acquisition, Development, Leasing and Management",163785726.026025
ARP588091073,IRSA Inversiones y Representaciones SA,2020,Wireless and Broadband Telecommunication Services,1085842426.52323
ARP588091073,IRSA Inversiones y Representaciones SA,2021,"Hotel and Resort Acquisition, Development, Leasing and Management",10909604.5452922
ARP588091073,IRSA Inversiones y Representaciones SA,2021,"Industrial Property Acquisition, Development, Leasing and Management",805486.690823796
ARP588091073,IRSA Inversiones y Representaciones SA,2021,Investment and Investment Advisory Services,4453866.94150974
ARP588091073,IRSA Inversiones y Representaciones SA,2021,Marketing and Sales,34884675.1899987
ARP588091073,IRSA Inversiones y Representaciones SA,2021,"Office Acquisition, Development, Leasing and Management",32740659.7006633
ARP588091073,IRSA Inversiones y Representaciones SA,2021,"Residential Property Acquisition, Development, Leasing and Management",7865339.80962275
ARP588091073,IRSA Inversiones y Representaciones SA,2021,"Retail Property Acquisition, Development, Leasing and Management",63029323.1220895
ARP588091073,IRSA Inversiones y Representaciones SA,2022,"Hotel and Resort Acquisition, Development, Leasing and Management",40451542.4592594
ARP588091073,IRSA Inversiones y Representaciones SA,2022,Investment and Investment Advisory Services,64882391.5755061
ARP588091073,IRSA Inversiones y Representaciones SA,2022,"Office Acquisition, Development, Leasing and Management",28607706.9359013
ARP588091073,IRSA Inversiones y Representaciones SA,2022,"Retail Property Acquisition, Development, Leasing and Management",170084623.029333
ARP588091073,IRSA Inversiones y Representaciones SA,2023,"Hotel and Resort Acquisition, Development, Leasing and Management",82438965.3728274
ARP588091073,IRSA Inversiones y Representaciones SA,2023,Investment and Investment Advisory Services,101203140.703464
ARP588091073,IRSA Inversiones y Representaciones SA,2023,"Office Acquisition, Development, Leasing and Management",25253957.5125687
ARP588091073,IRSA Inversiones y Representaciones SA,2023,"Retail Property Acquisition, Development, Leasing and Management",285484308.41114
ARP588091073,IRSA Inversiones y Representaciones SA,2024,"Hotel and Resort Acquisition, Development, Leasing and Management",99376133.3916636
ARP588091073,IRSA Inversiones y Representaciones SA,2024,Investment and Investment Advisory Services,6201222.9878488
ARP588091073,IRSA Inversiones y Representaciones SA,2024,Marketing and Sales,95954323.4034405
ARP588091073,IRSA Inversiones y Representaciones SA,2024,"Office Acquisition, Development, Leasing and Management",26217196.0131134
ARP588091073,IRSA Inversiones y Representaciones SA,2024,"Residential Property Acquisition, Development, Leasing and Management",14923610.0853489
ARP588091073,IRSA Inversiones y Representaciones SA,2024,"Retail Property Acquisition, Development, Leasing and Management",289966092.118585
ARP9028N1016,Telecom Argentina SA Class B,2015,Wireless and Broadband Telecommunication Services,4373284694
ARP9028N1016,Telecom Argentina SA Class B,2016,Wireless and Broadband Telecommunication Services,3603197663
ARP9028N1016,Telecom Argentina SA Class B,2017,Wireless and Broadband Telecommunication Services,3936752253
ARP9028N1016,Telecom Argentina SA Class B,2019,Wireless and Broadband Telecommunication Services,4909753599
ARP9028N1016,Telecom Argentina SA Class B,2021,Wireless and Broadband Telecommunication Services,4468856313
ARP9028N1016,Telecom Argentina SA Class B,2022,Wireless and Broadband Telecommunication Services,3835497320
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2015,"Gas Network Supply, Management, and Maintenance",142421066
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2015,Natural Gas Liquids,314018818
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2016,"Gas Network Supply, Management, and Maintenance",178254466
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2016,Natural Gas Liquids,322712643
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2017,"Gas Network Supply, Management, and Maintenance",324394220
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2017,Natural Gas Liquids,415213704
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2018,"Gas Network Supply, Management, and Maintenance",620192561
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2018,Natural Gas Liquids,591457714
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2019,"Gas Network Supply, Management, and Maintenance",526622610
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2019,Natural Gas Liquids,479288057
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2020,"Gas Network Supply, Management, and Maintenance",400011245
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2020,Natural Gas Liquids,390418725
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2021,"Gas Network Supply, Management, and Maintenance",349170490
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2021,Natural Gas Liquids,585327668
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2022,"Gas Network Supply, Management, and Maintenance",461212112
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2022,Natural Gas Liquids,796969176
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2023,"Gas Network Supply, Management, and Maintenance",636471203
ARP9308R1039,Transportadora de Gas del Sur SA Class B,2023,Natural Gas Liquids,901449636
ARP9897X1319,YPF SA Class D,2020,Oil and Gas Services,8034000000
ARP9897X1319,YPF SA Class D,2020,Petroleum,1656000000
ARP9897X1319,YPF SA Class D,2021,Oil and Gas Services,12672000000
ARP9897X1319,YPF SA Class D,2021,Petroleum,1772000000
ARP9897X1319,YPF SA Class D,2022,Oil and Gas Services,16896487854
ARP9897X1319,YPF SA Class D,2022,Petroleum,1860512146
AT000000STR1,STRABAG SE,2021,Commercial Property Engineering and Construction,601293144
